dataset,seed,loss,epoch,train_loss,val_loss
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,14,0.410962116036943,0.787892813305203
CIFAR10_Bird_vs_Frog_ControlledImbalance,401,Weighted BCE,15,0.3905791815983938,0.817979943838051
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Soft-F2,1,0.45159158655161474,0.4317639392914532
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Soft-F2,2,0.43319665757950954,0.4317634954726953
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Soft-F2,3,0.43496226346997074,0.4317634954726953
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Soft-F2,4,0.4343555837896469,0.4317634954726953
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Soft-F2,5,0.4345307358206123,0.4317634954726953
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Soft-F2,6,0.4344679536205707,0.4317634954726953
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,1,1.4141953354156522,1.098323568165731
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,2,1.0991435646474308,1.097761338563274
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,3,1.0626047498787126,1.0280134767937146
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,4,1.0198149969725863,1.0109935364277243
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,5,0.978460779016239,0.9390047617095838
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,6,0.9160836456489392,0.9036222722032945
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,7,0.8606161785275951,0.8664527226695053
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,8,0.8269208853680415,0.8587428099817509
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,9,0.7874306800341843,0.8389162502700477
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,10,0.7561660968001955,0.8386329125157364
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,11,0.7290050684600988,0.8355246443542645
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,12,0.6970127278571725,0.8207903581557514
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,13,0.6727253564513556,0.8184846082179666
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,14,0.6472941576951694,0.8197529157288641
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,15,0.6211165544903031,0.8213272840856648
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,16,0.5939577864860223,0.847102521134795
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,17,0.5793591674977224,0.8122406786294292
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,18,0.5546333096673315,0.8091308084323252
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,19,0.5354421206361855,0.8103744443372
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,20,0.515987292938035,0.8136021336205572
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,21,0.4938418120011674,0.8239147478727986
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,22,0.4742533092988063,0.8295212190785854
CIFAR10_Bird_vs_Frog_ControlledImbalance,509,Weighted BCE,23,0.4612081088695732,0.817528496972091
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Soft-F2,1,0.4535968480723919,0.43465398198409044
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Soft-F2,2,0.4336933918518595,0.43465320883895
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Soft-F2,3,0.43327721108411693,0.43465318139508474
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Soft-F2,4,0.43350549901958846,0.43465318139508474
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Soft-F2,5,0.4333544870307057,0.43465318139508474
CIFAR10_Bird_vs_Frog_ControlledImbalance,613,Soft-F2,6,0.4334591608343631,0.43465318139508474
