dataset,seed,loss,epoch,train_loss,val_loss
BeeSpotter,211,Weighted BCE,3,1.0781254935758162,1.085958829029001
BeeSpotter,211,Weighted BCE,4,1.0493563687232677,1.082243581469968
BeeSpotter,211,Weighted BCE,5,1.0133162963830276,1.0704793715648513
BeeSpotter,211,Weighted BCE,6,0.9681608333553311,1.0729272142588664
BeeSpotter,211,Weighted BCE,7,0.9064433155137069,1.093768454284119
BeeSpotter,211,Weighted BCE,8,0.8430475307197639,1.0897492256095942
BeeSpotter,211,Weighted BCE,9,0.7832404595039429,1.0959269357242172
BeeSpotter,211,Weighted BCE,10,0.7224318110438535,1.1247233718419247
BeeSpotter,307,Soft-F2,1,0.45546766077474254,0.4318800169786961
BeeSpotter,307,Soft-F2,2,0.4338182296225018,0.4318800718664265
BeeSpotter,307,Soft-F2,3,0.4338987883847646,0.4318800718664265
BeeSpotter,307,Soft-F2,4,0.4347521443821952,0.4318800718664265
BeeSpotter,307,Soft-F2,5,0.4336165617329918,0.4318800718664265
BeeSpotter,307,Soft-F2,6,0.43533849528413116,0.4318800718664265
BeeSpotter,307,Weighted BCE,1,1.6184848825959446,1.4641133486795768
BeeSpotter,307,Weighted BCE,2,1.20995464344265,1.1527114386181179
BeeSpotter,307,Weighted BCE,3,1.0666792667416385,1.0780865785886915
BeeSpotter,307,Weighted BCE,4,0.9777342787097962,1.0717437721842484
BeeSpotter,307,Weighted BCE,5,0.8985264214387786,1.070918103773817
BeeSpotter,307,Weighted BCE,6,0.8476302634478688,1.073566230080968
BeeSpotter,307,Weighted BCE,7,0.8153886621219418,1.0809335511365383
BeeSpotter,307,Weighted BCE,8,0.7604527769058701,1.0855617909122715
BeeSpotter,307,Weighted BCE,9,0.7126844251188043,1.1425489015716443
BeeSpotter,307,Weighted BCE,10,0.6623330596435403,1.1236677915929891
BeeSpotter,401,Soft-F2,1,0.4526822388333098,0.4341257557594519
BeeSpotter,401,Soft-F2,2,0.4331900293927918,0.4341257557594519
BeeSpotter,401,Soft-F2,3,0.4338292284767226,0.4341257557594519
BeeSpotter,401,Soft-F2,4,0.43343065538243275,0.4341257557594519
BeeSpotter,401,Soft-F2,5,0.4333292606926308,0.4341257557594519
BeeSpotter,401,Soft-F2,6,0.43451658081729383,0.4341257557594519
BeeSpotter,401,Weighted BCE,1,1.6524439046878625,1.0969708669099876
BeeSpotter,401,Weighted BCE,2,1.1257507681953918,1.0978986153499686
BeeSpotter,401,Weighted BCE,3,1.0277589929200421,1.0934131394187323
BeeSpotter,401,Weighted BCE,4,0.9786073126093318,1.0906540549916328
BeeSpotter,401,Weighted BCE,5,0.9322542507942467,1.0934845071902377
BeeSpotter,401,Weighted BCE,6,0.893295872597733,1.099374249684725
BeeSpotter,401,Weighted BCE,7,0.8654611805985363,1.1150157871863824
BeeSpotter,401,Weighted BCE,8,0.8136783110784261,1.1715757289378763
BeeSpotter,401,Weighted BCE,9,0.7573191626022573,1.1338392358889682
BeeSpotter,509,Soft-F2,1,0.4501852120074144,0.4317634954726953
