dataset,loss,metric,n_runs,mean,sd,ci95_low,ci95_high,mean_plus_minus_sd
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,MCC,10,0.4389217022728159,0.030072620276139998,0.4174090456771142,0.46043435886851763,0.4389 ± 0.0301
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,AUC,10,0.8199132829336708,0.016445850756223374,0.8081486300203529,0.8316779358469888,0.8199 ± 0.0164
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,Average_Precision,10,0.5694304925172828,0.03297712256205171,0.5458400801528952,0.5930209048816705,0.5694 ± 0.0330
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,Brier,10,0.16644121562161712,0.02959752904473789,0.1452684188192734,0.18761401242396084,0.1664 ± 0.0296
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,ECE,10,0.1808589401682268,0.060950809127198136,0.13725735793350846,0.22446052240294512,0.1809 ± 0.0610
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,Log_Loss,10,0.5082931240764766,0.07031201440005114,0.45799493900144844,0.5585913091515048,0.5083 ± 0.0703
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,Prob_SD_All,10,0.25822230279445646,0.04934894679840812,0.22292019289896403,0.2935244126899489,0.2582 ± 0.0493
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,threshold,10,0.559,0.046535530034110005,0.5257104872162717,0.5922895127837284,0.5590 ± 0.0465
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,best_epoch,10,11.3,3.9171985454460234,8.497804968387708,14.102195031612293,11.3000 ± 3.9172
CIFAR10_Bird_vs_Frog_ControlledImbalance,Weighted BCE,pos_weight,10,3.7991360691144704,4.681111291435602e-16,3.79913606911447,3.799136069114471,3.7991 ± 0.0000
